food_name,category,calories,protein,carbs,fat,iron,vitamin_c,protein_per_100_cal
"Oranges, raw, Florida",Fruits and Fruit Juices,46.0,0.7,11.5,0.21,0.09,45.0,1.5217391304347825
"Oranges, raw, navels",Fruits and Fruit Juices,47.0,0.91,11.8,0.15,0.33,59.1,1.9361702127659575
"Oranges, raw, with peel",Fruits and Fruit Juices,262.0,1.3,15.5,0.3,0.8,71.0,0.4961832061068702
"Tomatoes, orange, raw",Vegetables and Vegetable Products,67.0,1.16,3.18,0.19,0.47,16.0,1.7313432835820894
"Grapes, raw",Grapes,83.0,0.9,19.4,0.2,0.18,3.2,1.0843373493975903
"Grape juice, 100%",Other fruit juice,66.0,0.18,15.73,0.28,0.08,50.4,0.2727272727272727
"Grape leaves, canned",Vegetables and Vegetable Products,69.0,4.27,11.7,1.97,2.98,11.3,6.188405797101448
"Grape leaves, raw",Vegetables and Vegetable Products,390.0,5.6,17.3,2.12,2.63,11.1,1.4358974358974357
"Grapes, muscadine, raw",Fruits and Fruit Juices,238.0,0.81,13.9,0.47,0.26,6.5,0.3403361344537815
"Tomatoes, grape, raw",Vegetables and Vegetable Products,27.0,0.83,5.51,0.63,0.33,27.2,3.074074074074074
"Beverages, carbonated, grape soda",Beverages,180.0,0.0,11.2,0.0,0.08,0.0,0.0
"Beverages, grape drink, canned",Beverages,61.0,0.0,15.7,0.0,0.07,31.4,0.0
"Grape juice drink, light",Fruit drinks,23.0,0.06,5.51,0.1,0.03,17.6,0.2608695652173913
Grape leaves stuffed with rice,Rice mixed dishes,168.0,2.28,13.88,11.95,1.25,5.6,1.3571428571428572
"Beverages, grape juice drink, canned",Beverages,237.0,0.0,14.6,0.0,0.13,26.5,0.0
"Beverages, OCEAN SPRAY, Cran Grape",Beverages,224.0,0.21,13.2,0.0,0.04,28.1,0.09375
"Grape juice, 100%, with calcium added",Other fruit juice,62.0,0.37,14.77,0.13,0.25,25.0,0.5967741935483871
Stuffed grape leaves with beef and rice,Meat mixed dishes,228.0,8.15,11.3,17.03,1.91,9.7,3.574561403508772
Stuffed grape leaves with lamb and rice,Meat mixed dishes,271.0,8.17,11.89,21.52,1.83,8.0,3.014760147601476
"Mango, raw",Mango and papaya,60.0,0.82,14.98,0.38,0.16,36.4,1.3666666666666665
"Mango, canned",Mango and papaya,65.0,0.62,16.22,0.3,0.12,21.8,0.9538461538461539
"Mango, frozen",Mango and papaya,60.0,0.82,14.98,0.38,0.16,36.4,1.3666666666666665
Mango nectar,Fruit drinks,51.0,0.11,13.12,0.06,0.36,15.2,0.2156862745098039
"Mango, dried",Dried fruits,319.0,2.45,78.58,1.18,0.23,42.3,0.768025078369906
"Mangos, raw",Fruits and Fruit Juices,60.0,0.82,15.0,0.38,0.16,36.4,1.3666666666666665
"Mango nectar, canned",Fruits and Fruit Juices,51.0,0.11,13.1,0.06,0.36,15.2,0.2156862745098039
"Mango, dried, sweetened",Fruits and Fruit Juices,1340.0,2.45,78.6,1.18,0.23,42.3,0.1828358208955224
"Beverages, V8 SPLASH Smoothies, Peach Mango",Beverages,37.0,1.22,7.76,0.0,0.15,24.5,3.297297297297297
"Yogurt, Greek, 2% fat, mango, CHOBANI",Dairy and Egg Products,93.0,7.64,11.8,1.69,0.03,0.0,8.21505376344086
"Beverages, V8 V-FUSION Juices, Peach Mango",Beverages,49.0,0.41,11.4,0.0,0.15,24.4,0.836734693877551
"Fruit juice smoothie, NAKED JUICE, MIGHTY MANGO",Fruits and Fruit Juices,262.0,0.42,15.0,0.0,0.15,2.5,0.16030534351145037
"Salsa, red, homemade",Tomato-based condiments,34.0,1.44,6.74,0.19,0.42,1.9,4.235294117647059
"Pear, raw",Pears,59.0,0.37,15.18,0.15,0.18,4.3,0.6271186440677966
Pear nectar,Fruit drinks,60.0,0.11,15.76,0.01,0.26,1.1,0.18333333333333332
"Pear, dried",Dried fruits,262.0,1.87,69.7,0.63,2.1,7.0,0.7137404580152672
"Pears, raw",Fruits and Fruit Juices,57.0,0.36,15.2,0.14,0.18,4.3,0.631578947368421
"Pear, Asian, raw",Pears,42.0,0.5,10.65,0.23,0.0,3.8,1.1904761904761905
"Pear, canned, in syrup",Pears,59.0,0.18,15.15,0.05,0.2,0.9,0.3050847457627119
"Pear, canned, NFS",Pears,52.0,0.2,13.47,0.06,0.25,1.0,0.38461538461538464
"Pears, asian, raw",Fruits and Fruit Juices,176.0,0.5,10.6,0.23,0.0,3.8,0.2840909090909091
"Pears, raw, bartlett",Fruits and Fruit Juices,238.0,0.38,15.1,0.16,0.17,4.4,0.15966386554621848
"Prickly pears, raw",Fruits and Fruit Juices,172.0,0.73,9.57,0.51,0.3,14.0,0.42441860465116277
"Pear, canned, juice pack",Pears,45.0,0.23,11.79,0.07,0.29,1.1,0.5111111111111112
"Pears, dried, sulfured, uncooked",Fruits and Fruit Juices,1100.0,1.87,69.7,0.63,2.1,7.0,0.17
"Pears, raw, red anjou",Fruits and Fruit Juices,62.0,0.33,14.9,0.14,0.19,5.2,0.532258064516129
"Strawberries, raw",Strawberries,36.0,0.64,7.96,0.22,0.26,59.6,1.7777777777777777
"Strawberries, canned",Strawberries,92.0,0.56,23.53,0.26,0.49,31.7,0.6086956521739131
"Strawberries, frozen",Strawberries,35.0,0.43,9.13,0.11,0.75,41.2,1.2285714285714284
"Pie, strawberry",Cakes and pies,289.0,2.88,44.22,11.6,1.37,15.8,0.9965397923875432
"Toppings, strawberry",Sweets,1060.0,0.2,66.3,0.1,0.28,13.7,0.01886792452830189
"Cake or cupcake, strawberry",Cakes and pies,326.0,2.22,50.25,12.89,0.87,3.3,0.6809815950920246
"Cake, strawberry shortcake",Cakes and pies,214.0,3.31,40.09,4.73,1.6,12.4,1.5467289719626167
"Guavas, strawberry, raw",Fruits and Fruit Juices,289.0,0.58,17.4,0.6,0.22,37.0,0.20069204152249132
"Ice creams, strawberry",Sweets,803.0,3.2,27.6,8.4,0.21,7.7,0.398505603985056
"McDONALD'S, Strawberry Sundae",Fast Foods,158.0,3.19,28.1,3.95,0.1,1.5,2.0189873417721516
Strawberry drink syrup,"Jams, syrups, toppings",261.0,0.0,65.1,0.02,0.03,0.0,0.0
"Strawberry juice, 100%",Other fruit juice,23.0,0.42,5.17,0.14,0.17,38.7,1.826086956521739
"Strawberry milk, NFS","Flavored milk, reduced fat",65.0,3.2,8.54,2.06,0.02,0.1,4.923076923076923
